Registo do gerador:
t(ticks) ; id_viat ; destin ; t_estacion ; t_vida ; observ
       0 ;       0 ;        W ;        300 ;      ? ; entrada
       0 ;       0 ;        W ;        300 ;      ? ; entrada
       0 ;       1 ;        E ;        200 ;      ? ; entrada
       0 ;       1 ;        E ;        200 ;      ? ; entrada
       0 ;       2 ;        E ;        500 ;      ? ; entrada
       0 ;       2 ;        E ;        500 ;      ? ; entrada
       0 ;       3 ;        S ;        700 ;      ? ; entrada
       0 ;       3 ;        S ;        700 ;      ? ; entrada
       0 ;       4 ;        S ;        100 ;      ? ;   cheio
       0 ;       4 ;        S ;        100 ;      ? ;   cheio
       0 ;       5 ;        S ;        400 ;      ? ; entrada
       0 ;       5 ;        S ;        400 ;      ? ; entrada
       0 ;       6 ;        N ;        400 ;      ? ; entrada
       0 ;       6 ;        N ;        400 ;      ? ; entrada
       0 ;       7 ;        S ;        600 ;      ? ; entrada
       0 ;       7 ;        S ;        600 ;      ? ; entrada
       0 ;       8 ;        S ;        600 ;      ? ; entrada
       0 ;       8 ;        S ;        600 ;      ? ; entrada
       0 ;       9 ;        W ;        500 ;      ? ;   cheio
       0 ;       9 ;        W ;        500 ;      ? ;   cheio
       0 ;      10 ;        S ;        200 ;      ? ; entrada
       0 ;      10 ;        S ;        200 ;      ? ; entrada
       0 ;      11 ;        W ;        500 ;      ? ;   cheio
       0 ;      11 ;        W ;        500 ;      ? ;   cheio
       0 ;      12 ;        S ;        100 ;      ? ; entrada
       0 ;      12 ;        S ;        100 ;      ? ; entrada
       0 ;      13 ;        N ;        400 ;      ? ; entrada
       0 ;      13 ;        N ;        400 ;      ? ; entrada
       0 ;      14 ;        S ;        700 ;      ? ; entrada
       0 ;      14 ;        S ;        700 ;      ? ; entrada
       0 ;      15 ;        E ;        500 ;      ? ; entrada
       0 ;      15 ;        E ;        500 ;      ? ; entrada
       0 ;      16 ;        W ;        900 ;      ? ;   cheio
       0 ;      16 ;        W ;        900 ;      ? ;   cheio
       0 ;      17 ;        W ;       1000 ;      ? ;   cheio
       0 ;      17 ;        W ;       1000 ;      ? ;   cheio
       0 ;      18 ;        N ;       1000 ;      ? ;   cheio
       0 ;      18 ;        N ;       1000 ;      ? ;   cheio
       0 ;      19 ;        W ;        900 ;      ? ; entrada
       0 ;      19 ;        W ;        900 ;      ? ; entrada
       0 ;      20 ;        N ;        600 ;      ? ; entrada
       0 ;      20 ;        N ;        600 ;      ? ; entrada
       0 ;      21 ;        S ;        600 ;      ? ;   cheio
       0 ;      21 ;        S ;        600 ;      ? ;   cheio
       0 ;      22 ;        N ;        900 ;      ? ;   cheio
       0 ;      22 ;        N ;        900 ;      ? ;   cheio
       0 ;      23 ;        E ;        100 ;      ? ; entrada
       0 ;      23 ;        E ;        100 ;      ? ; entrada
       0 ;      24 ;        S ;        400 ;      ? ; entrada
       0 ;      24 ;        S ;        400 ;      ? ; entrada
       0 ;      25 ;        N ;       1000 ;      ? ; entrada
       0 ;      25 ;        N ;       1000 ;      ? ; entrada
