Registo do parque:
t(ticks) ; nlug ; id_viat ; observ
       0 ;    3 ;       0 ; entrada
       1 ;    2 ;       1 ; entrada
       4 ;    1 ;       2 ; entrada
       5 ;    2 ;       0 ;   saida
       5 ;    1 ;       3 ; entrada
       6 ;    0 ;       4 ; entrada
       7 ;    0 ;       5 ;   cheio
       9 ;    0 ;       6 ;   cheio
      10 ;    1 ;       3 ;   saida
      11 ;    3 ;       1 ;   saida
      11 ;    3 ;       2 ;   saida
      11 ;    2 ;       7 ; entrada
      12 ;    3 ;       4 ;   saida
      13 ;    2 ;       8 ; entrada
      15 ;    1 ;       9 ; entrada
      16 ;    2 ;       8 ;   saida
      16 ;    1 ;      10 ; entrada
      17 ;    0 ;      11 ; entrada
      17 ;    1 ;      10 ;   saida
      18 ;    2 ;       7 ;   saida
      19 ;    1 ;      12 ; entrada
      20 ;    2 ;       9 ;   saida
      21 ;    1 ;      13 ; entrada
      22 ;    0 ;      14 ; entrada
      23 ;    1 ;      14 ;   saida
      24 ;    2 ;      13 ;   saida
      24 ;    1 ;      15 ; entrada
      25 ;    2 ;      11 ;   saida
      27 ;    3 ;      12 ;   saida
      27 ;    2 ;      16 ; entrada
      28 ;    1 ;      17 ; entrada
      29 ;    1 ;      16 ;   saida
      29 ;    1 ;      18 ; entrada
      30 ;    0 ;      19 ; entrada
      32 ;    1 ;      18 ;   saida
      32 ;    0 ;      20 ; entrada
      34 ;    1 ;      15 ;   saida
      34 ;    0 ;      21 ; entrada
      36 ;    1 ;      17 ;   saida
      36 ;    0 ;      22 ; entrada
      37 ;    1 ;      20 ;   saida
      37 ;    0 ;      23 ; entrada
      39 ;    1 ;      19 ;   saida
      39 ;    0 ;      24 ; entrada
      40 ;    1 ;      21 ;   saida
      41 ;    0 ;      25 ; entrada
      42 ;    1 ;      25 ;   saida
      42 ;    0 ;      26 ; entrada
      43 ;    1 ;      22 ;   saida
      43 ;    0 ;      27 ; entrada
      44 ;    1 ;      23 ;   saida
      44 ;    2 ;      24 ;   saida
      45 ;    1 ;      28 ; entrada
      46 ;    0 ;      29 ; entrada
      47 ;    1 ;      27 ;   saida
      47 ;    2 ;      29 ;   saida
      47 ;    1 ;      30 ; entrada
      49 ;    0 ;      31 ; entrada
      50 ;    1 ;      30 ;   saida
      52 ;    2 ;      26 ;   saida
      55 ;    3 ;      28 ;   saida
      59 ;    4 ;      31 ;   saida
